r (fm)	V(T=350 MeV)	V(T=250 MeV)	V(T=200 MeV)	V(T=160 MeV)
1.2455555555555555	0.00146717799299148	0.001224871864857479	0.0005768718248974856	-0.0007537956131367098
1.2595959595959594	0.0013234769292850453	0.0010827093651946658	0.0004526423683761161	-0.0008411315637817196
1.2736363636363635	0.0010678833928527136	0.000802513212470394	0.00016702746429489256	-0.0011208276545362425
1.2876767676767675	0.0007264231025496089	0.00041599243630268995	-0.00024327963137536006	-0.0015496259251427957
1.3017171717171716	0.00033066058591817003	-3.8395717199612396e-05	-0.0007337859846291184	-0.0020750867374694022
1.3157575757575757	-8.499549672006972e-05	-0.0005187215741522373	-0.001255982184812623	-0.0026400401023098335
1.3297979797979798	-0.00048609399530019095	-0.0009829904820462926	-0.0017612784024119109	-0.0031872175173672506
1.3438383838383836	-0.0008408291340279164	-0.0013924133180106216	-0.0022047829703667884	-0.003663699074293162
1.3578787878787877	-0.0011224116601008564	-0.0017142930147944885	-0.0025486380109264323	-0.004024839800202389
1.3719191919191918	-0.0013109529391058972	-0.0019243196320773359	-0.0027646722994428647	-0.004237392910030999
1.3859595959595958	-0.0013947359840499702	-0.00200812035967115	-0.002836193746284716	-0.004281620809091076
1.4	-0.001370799623848112	-0.001961974329005708	-0.002758817207538724	-0.004152270969179962
