#r_rel[fm]	P(r_rel)_boundstates	P(r_rel)_ges
1.1424 0.00909486 0.0141412
1.1448 0.00363795 0.0143956
1.1472 0.00727589 0.0140564
1.1496 0.00727589 0.014756
1.152 0.00545692 0.013484
1.1544 0.00909486 0.0140564
1.1568 0 0.0147348
1.1592 0 0.0145016
1.1616 0.00363795 0.0133992
1.164 0.00181897 0.014332
1.1664 0.00181897 0.014756
1.1688 0.00363795 0.0143956
1.1712 0.00363795 0.0153497
1.1736 0.00363795 0.0150529
1.176 0.00909486 0.0152861
1.1784 0.00545692 0.0140776
1.1808 0.00181897 0.0152013
1.1832 0.00545692 0.01465
1.1856 0 0.0142684
1.188 0.00363795 0.0149469
1.1904 0.00363795 0.0150529
1.1928 0.00363795 0.0148409
1.1952 0.00181897 0.0145016
1.1976 0 0.0147136
1.2 0.00363795 0.0154981
1.2024 0.00181897 0.0146288
1.2048 0.00545692 0.0162189
1.2072 0 0.0148621
1.2096 0.00181897 0.0151377
1.212 0 0.0157313
1.2144 0 0.0152649
1.2168 0.00181897 0.0165582
1.2192 0 0.0151589
1.2216 0 0.014332
1.224 0 0.0164945
1.2264 0 0.0165582
1.2288 0 0.0156253
1.2312 0 0.0154981
1.2336 0 0.0160705
1.236 0.00181897 0.0162189
1.2384 0.00181897 0.0158373
1.2408 0 0.0146712
1.2432 0 0.0154345
1.2456 0.00181897 0.0148621
1.248 0 0.0152649
1.2504 0.00181897 0.0159009
1.2528 0 0.0146288
1.2552 0 0.0161129
1.2576 0.00181897 0.0173002
1.26 0 0.0162613
1.2624 0 0.0155405
1.2648 0 0.0168762
1.2672 0 0.0161553
1.2696 0 0.0170458
1.272 0.00181897 0.0157949
1.2744 0.00181897 0.0162401
1.2768 0.00181897 0.016855
1.2792 0.00181897 0.0164309
1.2816 0 0.017067
1.284 0 0.0177242
1.2864 0 0.0174274
1.2888 0.00181897 0.0185723
1.2912 0.00181897 0.0178514
1.2936 0 0.0181058
1.296 0.00181897 0.0179786
1.2984 0.00181897 0.0174698
1.3008 0.00181897 0.0181906
1.3032 0.00181897 0.0167278
1.3056 0.00181897 0.0179362
1.308 0.00363795 0.0185511
1.3104 0.00181897 0.0172578
1.3128 0.00363795 0.0184027
1.3152 0.00181897 0.0179362
1.3176 0.00181897 0.0183815
1.32 0 0.0175758
1.3224 0.00363795 0.0177454
1.3248 0.00363795 0.0181694
1.3272 0.00181897 0.0179786
1.3296 0.00181897 0.0182542
1.332 0.00545692 0.0184451
1.3344 0.00545692 0.0180846
1.3368 0.00363795 0.018021
1.3392 0.0163708 0.0193143
1.3416 0.00181897 0.0197595
1.344 0.00909486 0.0205228
1.3464 0.00545692 0.0177666
1.3488 0.00363795 0.0187631
1.3512 0.0109138 0.0188479
1.3536 0.00909486 0.0188055
1.356 0.00545692 0.0194203
1.3584 0.00545692 0.0190811
1.3608 0 0.0201412
1.3632 0.00363795 0.0195263
1.3656 0.0145518 0.0197171
1.368 0.00545692 0.0201412
1.3704 0.00727589 0.02012
1.3728 0.00727589 0.0192083
1.3752 0.00545692 0.0192719
1.3776 0.00363795 0.0186995
1.38 0.00363795 0.0196111
1.3824 0.00545692 0.0188055
1.3848 0.00727589 0.0188267
1.3872 0.00727589 0.0198867
1.3896 0.00363795 0.0203956
1.392 0.00727589 0.0202048
1.3944 0.00181897 0.0208832
1.3968 0 0.0206076
1.3992 0.00181897 0.0199715
1.4016 0.00545692 0.0194203
1.404 0.00545692 0.0210316
1.4064 0.0109138 0.0196747
1.4088 0.00909486 0.0205652
1.4112 0.0109138 0.0197171
1.4136 0.00909486 0.0192719
1.416 0.00545692 0.0198867
1.4184 0.00727589 0.0215828
1.4208 0 0.021392
1.4232 0.00181897 0.021286
1.4256 0.00181897 0.0194415
1.428 0.00545692 0.0218373
1.4304 0.00363795 0.0200988
1.4328 0.00363795 0.0207348
1.4352 0 0.0214132
1.4376 0.00181897 0.0202896
1.44 0.00181897 0.0203532
1.4424 0.00363795 0.0217524
1.4448 0.00181897 0.0213496
1.4472 0.00181897 0.0211376
1.4496 0.00545692 0.0209044
1.452 0.00181897 0.021074
1.4544 0.00181897 0.0214344
1.4568 0.00363795 0.0215192
1.4592 0.00727589 0.0212012
1.4616 0.00181897 0.0219645
1.464 0.00363795 0.0217524
1.4664 0 0.0206924
1.4688 0.00181897 0.0212648
1.4712 0 0.0209044
1.4736 0.00181897 0.0221129
1.476 0 0.0220493
1.4784 0.00181897 0.0226005
1.4808 0 0.0218373
1.4832 0 0.0219221
1.4856 0.00181897 0.0218161
1.488 0 0.0222189
1.4904 0 0.0220281
1.4928 0.00181897 0.0230245
1.4952 0 0.0219857
1.4976 0 0.0225581
1.5 0 0.0233213
1.5024 0 0.0227913
1.5048 0 0.0219009
1.5072 0 0.0226641
1.5096 0 0.0231093
1.512 0 0.0219645
1.5144 0 0.0211164
1.5168 0 0.0225369
1.5192 0 0.0229185
1.5216 0 0.023809
1.524 0 0.0232789
1.5264 0 0.0226853
1.5288 0 0.0225369
1.5312 0 0.0226853
1.5336 0 0.024657
1.536 0 0.0240846
1.5384 0 0.0229821
1.5408 0 0.0233849
1.5432 0 0.0241482
1.5456 0 0.0241694
1.548 0 0.024021
1.5504 0 0.0243602
1.5528 0 0.0233425
1.5552 0 0.0235121
1.5576 0 0.0232577
1.56 0 0.0234061
1.5624 0 0.0229397
1.5648 0 0.0231093
1.5672 0 0.0249538
1.5696 0 0.0239362
1.572 0 0.0245086
1.5744 0 0.0230033
1.5768 0 0.0249962
1.5792 0 0.024127
1.5816 0 0.0234485
1.584 0 0.0250174
1.5864 0 0.024763
1.5888 0 0.0253991
1.5912 0 0.0236182
1.5936 0 0.0241694
1.596 0 0.0256959
1.5984 0 0.0253779
1.6008 0 0.0263955
1.6032 0 0.0258231
1.6056 0 0.0257595
1.608 0 0.0245934
1.6104 0 0.0248054
1.6128 0 0.0258231
1.6152 0 0.0245086
1.6176 0 0.024975
1.62 0 0.0257807
1.6224 0 0.0268619
1.6248 0 0.0250174
1.6272 0 0.0246358
1.6296 0.00181897 0.0254415
1.632 0 0.0270104
1.6344 0.00363795 0.0259291
1.6368 0 0.0268407
1.6392 0 0.0259079
1.6416 0 0.0271376
1.644 0 0.0265439
1.6464 0 0.0260775
1.6488 0 0.0272012
1.6512 0 0.0270316
1.6536 0.00181897 0.0271588
1.656 0.00181897 0.0266075
1.6584 0.00363795 0.0264803
1.6608 0 0.0273708
1.6632 0.00181897 0.0275616
1.6656 0 0.0259715
1.668 0.00727589 0.0266923
1.6704 0 0.028028
1.6728 0.00181897 0.0281128
1.6752 0.00181897 0.0279856
1.6776 0 0.0256323
1.68 0.00181897 0.0279008
1.6824 0.00363795 0.0276888
1.6848 0.00363795 0.02771
1.6872 0.00181897 0.0277948
1.6896 0.00363795 0.0274344
1.692 0.00363795 0.0281976
1.6944 0.00363795 0.0276888
1.6968 0.00181897 0.0281764
1.6992 0.00727589 0.0277736
1.7016 0.00545692 0.0282188
1.704 0.00181897 0.0279856
1.7064 0.00545692 0.0283884
1.7088 0.00363795 0.0273708
1.7112 0.00363795 0.0271588
1.7136 0.00363795 0.0278796
1.716 0.00727589 0.0287064
1.7184 0 0.0285792
1.7208 0 0.0276888
1.7232 0.00363795 0.0279432
1.7256 0.00545692 0.0286216
1.728 0.00181897 0.0282612
1.7304 0.00545692 0.0279008
1.7328 0.00545692 0.0288761
1.7352 0 0.0292153
1.7376 0.00181897 0.0296181
1.74 0.00363795 0.0290457
1.7424 0 0.0303601
1.7448 0 0.0287489
1.7472 0.00181897 0.0293849
1.7496 0.00181897 0.0292365
1.752 0 0.0304237
1.7544 0.00181897 0.027392
1.7568 0.00181897 0.0300209
1.7592 0 0.0305086
1.7616 0 0.0297665
1.764 0 0.0309538
1.7664 0 0.0316534
1.7688 0 0.0307418
1.7712 0 0.0291305
1.7736 0.00363795 0.0286004
1.776 0 0.0298301
1.7784 0.00181897 0.0307206
1.7808 0 0.0287913
1.7832 0 0.0290669
1.7856 0.00181897 0.0298937
1.788 0 0.0300633
1.7904 0 0.030975
1.7928 0 0.0301269
1.7952 0 0.0298725
1.7976 0 0.0295333
1.8 0 0.0303601
1.8024 0 0.0299785
1.8048 0 0.0311658
1.8072 0 0.0320138
1.8096 0 0.0295333
1.812 0 0.0299149
1.8144 0 0.0317806
